"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"accidents";"BasisSchoolsAmsterdam";"BicyclePathsAmsterdamCrossings";"BronNetworkCrossings";"ChildDaycareAmsterdam2011";"HighAndUniAmsterdam2011";"OSMAlcoholBarsNightclubs";"OSMbikeBarriers2014";"OSMbusAndTramStops";"OSMcrossings";"OSMhostelsHotels";"OSMmotorwayJunctions";"OSMNetworkAmsterdamCrossings";"PriorityToRight";"SchoolsAmsterdam2011";"SecondarySchoolsAmsterdam2011";"SpecialSchoolsAmsterdam2011";"TrafficLightsAmsterdam"
142;84217,43;0;49717,1898593;34500,24;3050,72640653;636,190080813;73;1;49;112;2;0;0;3;1;6;0;0;132;0;1;0;0;3
143;416442,01;0;102611,934368;313830,08;6003,90392545;2213,56620875;22;2;16;73;2;0;0;1;3;4;0;0;194;0;1;0;0;1
144;75794,24;0;32700,8729362;43093,37;1634,41409192;293,054773764;23;2;2;31;3;0;0;1;1;9;0;0;36;0;7;0;0;1
145;57332,67;0;25276,5036686;32056,17;1311,85305197;230,814003327;29;1;22;42;2;0;0;1;4;17;0;0;23;0;3;0;0;1
146;106077,11;7385,97476406;64097,451189;34593,68;3513,37226269;0;101;1;9;100;2;0;0;1;2;36;0;0;68;0;1;0;0;1
147;218412,64;12620,2190756;127153,283211;78639,14;7000,77161683;0;28;1;15;184;3;0;0;2;3;11;0;0;174;0;1;0;0;2
148;54794,6;8318,84799737;29897,1809396;16578,57;1782,75435612;0;66;1;8;55;2;0;0;2;5;9;0;0;54;0;1;0;0;1
149;28514,47;3254,97040376;16180,014703;9079,48;980,5300766;0;91;2;19;30;1;0;0;1;2;6;0;0;32;0;4;0;0;2
150;61580,83;7339,0595823;35227,1847975;19014,59;1744,03146036;0;91;3;8;30;6;0;0;1;7;9;0;0;40;0;4;0;0;1
151;3217212,15;1284746,43161;323016,151319;1609449,57;14185,1502015;0;134;1;23;136;1;0;0;1;1;8;0;0;254;0;1;0;0;1
